latitude,longitude,hour,crime_density,poi_count,is_night,is_isolated,risk_label
23.256181017827103,77.43579938174254,17,3.8,5,0,0,0
23.342607145961487,77.470814849395,9,5.1,6,0,0,1
23.30979909127171,77.46402413946852,10,1.2,5,0,0,0
23.289798772629556,77.37308498570407,16,1.2,7,0,0,0
23.223402796066367,77.37238742046122,23,2.5,6,1,0,0
23.22339917805043,77.39022615516173,22,5.1,4,1,1,1
23.20871254182523,77.40416120895115,23,1.2,7,1,0,0
23.32992642186624,77.41126833721127,19,7.9,4,1,1,2
23.29016725176148,77.451954582525,15,2.5,6,0,0,0
23.306210886669408,77.35850206482488,19,2.5,9,1,0,0
23.20308767414437,77.35520090563391,12,2.5,3,0,1,0
23.345486477824302,77.40878658444159,1,1.2,8,1,0,0
23.324866396120065,77.45457455382069,23,6.7,6,1,0,1
23.231850866601743,77.37901530144347,1,7.9,7,1,0,1
23.227273745081064,77.44622567218843,13,5.1,5,0,0,1
23.227510676478015,77.38897422069104,3,2.5,6,1,0,0
23.24563633644393,77.48291291632202,16,2.5,4,0,1,0
23.278713464744836,77.48435349164,12,3.8,10,0,0,0
23.264791752796317,77.3945930806422,3,9.0,8,1,0,1
23.243684371029705,77.38449906309448,2,2.5,6,1,0,0
23.29177793420836,77.41169559580993,11,5.1,8,0,0,1
23.220924079097806,77.38607973777702,21,3.8,4,1,1,0
23.243821697280282,77.45085757649376,22,2.5,2,1,1,0
23.254954276494054,77.47390970268223,7,3.8,4,0,1,0
23.268410497632555,77.45096381963668,1,1.2,11,1,0,0
23.317776394208952,77.4736525670874,5,6.7,6,1,0,1
23.229951067323753,77.40954882433111,21,2.5,10,1,0,0
23.277135165762044,77.37344754560633,9,5.1,8,0,0,1
23.288862185329307,77.46069264210963,11,1.2,5,0,0,0
23.206967561907998,77.40407117577124,20,9.0,6,1,0,1
23.291131727785217,77.45069062378437,9,2.5,4,0,1,0
23.225578618553094,77.39059659129727,9,7.9,8,0,0,1
23.20975773894779,77.36218444522099,22,6.7,3,1,1,1
23.342332830588003,77.49888726932316,2,9.0,1,1,1,2
23.344844804961184,77.37343022618958,19,3.8,3,1,1,0
23.32125960221747,77.49826314909453,9,5.1,5,0,0,1
23.245692065376005,77.49659198988496,8,2.5,5,0,0,0
23.214650817100956,77.46907271558621,19,2.5,9,1,0,0
23.302634953976824,77.4489134443123,18,3.8,5,0,0,0
23.26602287406094,77.43667105753767,13,1.2,7,0,0,0
23.218305735226718,77.47991523180667,1,9.0,5,1,0,1
23.27427653651669,77.39341592824292,4,1.2,5,1,0,0
23.205158278167282,77.42015218187272,19,5.1,9,1,0,1
23.33639806031182,77.44290849540498,7,5.1,7,0,0,1
